"Language Code","Language Name","App Name","Short Description","Full Description"
"en-US","English (US)","OpenKitchen: Recipe Cook Mode","Step-by-step cooking companion with offline cookbook, timers, and nutrition.","OpenKitchen is an intuitive culinary companion designed to make home cooking seamless, organized, and enjoyable across smartphones, tablets, and Android TV.

Whether you are preparing a quick 15-minute weeknight dinner or mastering an artisan multi-course meal, OpenKitchen guides you through every step with clarity and precision.

KEY FEATURES:

1. Guided Cook Mode
- Distraction-free, full-screen step-by-step guidance.
- Large, easy-to-read typography visible from across your kitchen counter.
- Screen keep-awake toggle so your display stays active while your hands are busy.
- Instant access to recipe ingredient checklists from any cooking step.

2. Integrated Kitchen Timers
- One-tap timers tailored to specific recipe steps (boiling, simmering, baking).
- Custom timer controls with quick +1m and +5m adjustments.
- Audio and notification alerts so you never overcook a dish.

3. Dynamic Serving & Portion Scaler
- Seamlessly scale ingredients up or down from 1 to 20 servings.
- Automatic recalculation of exact ingredient amounts and measurements.

4. Offline Recipe Cookbook
- Save your favorite recipes to your personal cookbook with one tap.
- Access saved recipes anytime without an internet connection.
- Add private recipe notes, secret tweaks, and custom oven temperatures.

5. Comprehensive Nutritional Breakdown
- View calories, macronutrient ratios (protein, carbohydrates, fat), dietary fiber, net carbs, and sodium.
- Toggle between single serving estimates and full-dish totals.

6. Discover & Filter Culinary Collections
- Explore curated categories: Breakfast, Quick Meals, Vegetarian, Vegan, Seafood, Pasta, and Desserts.
- Filter by prep time (under 15, 25, 35, or 45 mins) and dietary preferences.
- Search thousands of recipes by ingredient, dish title, or cuisine.

7. Android TV & Large Screen Optimized
- Full directional D-pad navigation support for television displays.
- Responsive multi-pane layouts for tablets and foldables.

8. Privacy-First Experience
- No account registration required.
- No intrusive ads or tracking.
- Your personal notes and saved recipes remain safely on your device.

Elevate your daily home cooking with OpenKitchen."
"es-419","Spanish (Latin America)","OpenKitchen: Recetas y Cocina","Guía de cocina paso a paso con recetario offline, temporizadores y nutrición.","OpenKitchen es tu compañero culinario intuitivo diseñado para que cocinar en casa sea fácil, organizado y agradable en teléfonos, tabletas y Android TV.

Desde cenas rápidas de 15 minutos hasta recetas elaboradas, OpenKitchen te guía paso a paso con claridad.

CARACTERÍSTICAS PRINCIPALES:

1. Modo Cocina Guiado
- Guía paso a paso a pantalla completa sin distracciones.
- Tipografía clara y legible desde cualquier punto de la encimera.
- Opción de mantener la pantalla encendida mientras cocinas.
- Consulta rápida de ingredientes en cualquier momento.

2. Temporizadores de Cocina Integrados
- Temporizadores directos vinculados a cada paso de la receta.
- Ajustes rápidos de +1m y +5m.
- Alertas sonoras y notificaciones para no pasar de cocción ningún plato.

3. Escalador Dinámico de Porciones
- Ajusta porciones de 1 a 20 comensales al instante.
- Recálculo automático de medidas e ingredientes.

4. Recetario Personal sin Conexión
- Guarda tus recetas favoritas para acceder sin conexión a internet.
- Añade notas personales, trucos culinarios y temperaturas de horno.

5. Información Nutricional Detallada
- Calorías, proporción de proteínas, carbohidratos, grasas, fibra y sodio.
- Visualización por porción o para el plato completo.

6. Búsqueda y Filtros Inteligentes
- Categorías: Desayunos, Comidas Rápidas, Vegano, Vegetariano, Mariscos, Pasta y Postres.
- Filtra por tiempo de preparación y preferencias dietéticas.

7. Optimizado para Android TV y Tabletas
- Navegación fluida con control remoto D-pad.
- Diseño adaptativo para pantallas grandes.

8. Privacidad Garantizada
- Sin necesidad de registro ni cuentas.
- Sin anuncios invasivos. Tus notas se guardan en tu dispositivo.

Disfruta cocinando en casa con OpenKitchen."
"fr-FR","French","OpenKitchen: Recettes & Plats","Guide de cuisine pas à pas avec livre hors ligne, minuteurs et nutrition.","OpenKitchen est un compagnon culinaire complet conçu pour cuisiner à la maison avec plaisir et simplicité sur smartphones, tablettes et Android TV.

FONCTIONNALITÉS CLÉS :

1. Mode Cuisine Guidé
- Navigation pas à pas en plein écran sans distraction.
- Grande typographie lisible depuis votre plan de travail.
- Écran toujours allumé pour garder les mains libres.
- Liste des ingrédients accessible à chaque étape.

2. Minuteurs Intégrés
- Minuteur en un clic adapté à chaque étape de cuisson.
- Ajustements rapides (+1 min / +5 min).
- Alertes sonores précises.

3. Ajustement Automatique des Portions
- Ajustez les portions de 1 à 20 personnes.
- Recalcul immédiat des quantités d'ingrédients.

4. Livre de Recettes Hors Ligne
- Enregistrez vos plats favoris pour un accès sans connexion.
- Ajoutez des notes et astuces de cuisson personnalisées.

5. Analyse Nutritionnelle Complète
- Suivi des calories, protéines, glucides, lipides et fibres.
- Vue par portion ou pour l'ensemble du plat.

6. Recherche & Filtres Avancés
- Explorez par catégorie : Végétarien, Végétalien, Pâtes, Desserts, Repas Rapides.
- Filtres par temps de préparation (≤ 15, 25, 35, 45 min).

7. Adapté à Android TV & Tablettes
- Navigation fluide à la télécommande et interface grand écran.

8. Respect de la Vie Privée
- Aucun compte obligatoire. Données conservées sur l'appareil.

Cuisinez sereinement avec OpenKitchen."
"de-DE","German","OpenKitchen: Rezepte & Kochen","Schritt-für-Schritt Kochassistent mit Offline-Kochbuch, Timern und Nährwerten.","OpenKitchen ist dein übersichtlicher kulinarischer Begleiter für entspanntes Kochen zu Hause auf Smartphones, Tablets und Android TV.

HAUPTMERKMALE:

1. Geführter Kochmodus
- Übersichtliche Schritt-für-Schritt-Anleitung im Vollbildmodus.
- Große, gut lesbare Schrift für den Küchenalltag.
- Bildschirm bleibt aktiv, während du kochst.
- Schnellzugriff auf die Zutatenliste bei jedem Schritt.

2. Integrierte Küchentimer
- 1-Klick-Timer direkt für einzelne Kochschritte.
- Schnellanpassung um +1 Min. und +5 Min.
- Zuverlässige Benachrichtigungen für punktgenaues Garen.

3. Portionen Flexibel Skalieren
- Portionsgröße von 1 bis 20 Personen anpassen.
- Automatische Neuberechnung aller Mengenangaben.

4. Offline-Kochbuch & Eigene Notizen
- Lieblingsrezepte dauerhaft ohne Internetzugang speichern.
- Eigene Zubereitungstipps und Ofenzeiten notieren.

5. Nährwertanalyse & Makros
- Übersicht zu Kalorien, Eiweiß, Kohlenhydraten, Fett und Ballaststoffen.
- Umschaltbar zwischen Einzelportion und Gesamtrezept.

6. Entdecken & Filtern
- Kategorien: Schnelle Gerichte, Vegetarisch, Vegan, Pasta, Fisch, Desserts.
- Filter nach Zubereitungszeit (≤ 15, 25, 35, 45 Min.).

7. Optimiert für Android TV & Tablets
- Volle Unterstützung für TV-Fernbedienung (D-Pad).
- Übersichtliches Mehrspalten-Layout auf Tablets.

8. Datenschutzfreundlich
- Keine Registrierung erforderlich. Keine störende Werbung.

Koche mit Freude und Präzision mit OpenKitchen."
"it-IT","Italian","OpenKitchen: Ricette e Cucina","Guida culinaria passo passo con ricettario offline, timer e valori nutrizionali.","OpenKitchen è il tuo assistente culinario personale per cucinare piatti deliziosi su smartphone, tablet e Android TV.

CARATTERISTICHE PRINCIPALI:

1. Modalità Cottura Guidata
- Istruzioni passo passo a schermo intero senza distrazioni.
- Testi grandi e chiari visibili dal piano di lavoro.
- Schermo sempre attivo durante la preparazione.
- Controllo rapido degli ingredienti in ogni momento.

2. Timer da Cucina Integrati
- Timer dedicati per ogni passaggio della ricetta.
- Aggiunta rapida di +1m e +5m.
- Notifiche precise per cotture perfette.

3. Scalatore di Porzioni Intelligente
- Modifica le porzioni da 1 a 20 persone.
- Ricalcolo automatico di dosi e quantità.

4. Ricettario Offline e Note Personali
- Salva le ricette preferite per consultarle senza connessione.
- Aggiungi note, varianti e tempi di cottura personalizzati.

5. Valori Nutrizionali Dettagliati
- Monitora calorie, proteine, carboidrati, grassi e fibre.
- Calcolo per singola porzione o piatto intero.

6. Categorie e Ricerca Intelligente
- Primi piatti, pasta, piatti veloci, vegetariani, vegani e dolci.
- Filtra per tempo di preparazione (≤ 15, 25, 35, 45 min).

7. Ottimizzato per Android TV e Tablet
- Supporto completo al telecomando D-pad su TV.
- Layout responsive per schermi ampi.

8. Massima Privacy
- Nessun account richiesto. I tuoi dati restano sul dispositivo.

Cucina al meglio con OpenKitchen."
"pt-BR","Portuguese (Brazil)","OpenKitchen: Receitas & Chef","Guia passo a passo com livro de receitas offline, timers e dados nutricionais.","OpenKitchen é o seu guia culinário completo para preparar refeições deliciosas no celular, tablet e Android TV.

DESTAQUES DO APLICATIVO:

1. Modo Cozinha Passo a Passo
- Instruções detalhadas em tela cheia sem distrações.
- Textos grandes e legíveis para acompanhar na bancada.
- Função de manter a tela ligada enquanto cozinha.
- Acesso rápido à lista de ingredientes a qualquer momento.

2. Temporizadores Integrados
- Inicie o timer do passo com um toque.
- Ajustes rápidos de +1 min e +5 min com alertas sonoros.

3. Ajuste Dinâmico de Porções
- Ajuste de 1 a 20 porções com recálculo automático de medidas.

4. Livro de Receitas Offline
- Salve receitas para acessar sem internet.
- Anote ajustes pessoais e segredos de preparo.

5. Informações Nutricionais
- Acompanhe calorias, proteínas, carboidratos, gorduras e fibras.
- Visualização por porção individual ou prato completo.

6. Busca e Filtros Práticos
- Categorias: Refeições Rápidas, Vegetariano, Vegano, Massas, Sobremesas.
- Filtre por tempo de preparo (≤ 15, 25, 35, 45 min).

7. Otimizado para Android TV
- Navegação completa por controle remoto D-pad.

8. Privacidade Total
- Sem necessidade de cadastro. Seus dados ficam no seu aparelho.

Cozinhe com praticidade usando o OpenKitchen."
"ja-JP","Japanese","OpenKitchen: レシピと調理タイマー","オフライン保存、調理タイマー、栄養計算に対応した手順付きレシピガイド。","OpenKitchenは、スマートフォン、タブレット、Android TVで快適に料理を楽しめるスマートレシピパートナーです。

主な機能：

1. ガイド付きクックモード
- 画面いっぱいに分かりやすく表示されるステップ別ガイド。
- キッチンで離れた場所からでも見やすい大型フォント。
- 調理中に画面が消えないスリープ防止機能。
- 調理中いつでも材料一覧を瞬時に確認可能。

2. 連動キッチンタイマー
- レシピの手順に合わせたワンタップタイマー。
- +1分、+5分のクイック延長とアラーム通知機能。

3. 分量・人数自動計算
- 1人分から20人分まで人数に合わせた材料の自動再計算。

4. オフラインレシピ帳
- お気に入りレシピを保存して、通信環境のない場所でも閲覧可能。
- 独自の味付けやオーブン温度のメモ機能。

5. 詳細な栄養バランス表示
- カロリー、タンパク質、炭水化物、脂質、食物繊維の確認。
- 1人前および料理全体の栄養価切り替え。

6. カテゴリ・時間別フィルター
- 朝食、時短料理、ベジタリアン、パスタ、魚介料理、デザート。
- 調理時間別（15分、25分、35分、45分以内）の絞り込み。

7. Android TV・大画面対応
- リモコンの方向キー（D-pad）で直感的に操作可能。

8. 安心のプライバシー設計
- アカウント登録不要。データはお使いの端末内に安全に保管されます。

日々の料理をもっと楽しく、スムーズに。"
"zh-CN","Chinese (Simplified)","OpenKitchen: 食谱与烹饪助手","步骤式烹饪指南，支持离线收藏、厨房计时器与营养成分分析。","OpenKitchen 是一款专为手机、平板与 Android TV 设计的智能烹饪食谱助手，让厨房料理变得轻松高效。

主要功能：

1. 沉浸式烹饪模式
- 清晰全屏的逐步操作引导，减少干扰。
- 专为厨房操作设计的大字体，易于阅读。
- 屏幕常亮保持功能，避免湿手解锁屏幕。
- 随时查看食材清单与用量。

2. 内置智能厨房计时器
- 一键启动与步骤对应的计时器。
- 支持 +1分钟、+5分钟快捷调整与闹钟提醒。

3. 份量智能换算
- 支持 1 至 20 人份量自由切换，食材用量自动精确换算。

4. 离线食谱收藏夹
- 一键收藏喜爱食谱，无网络环境下随时查看。
- 支持记录个人私房笔记、火候与烤箱心得。

5. 全面营养数据分析
- 详细展示卡路里、蛋白质、碳水化合物、脂肪及膳食纤维。
- 支持单份与整道菜营养总量切换查看。

6. 分类与智能筛选
- 涵盖早餐、快手菜、素食、海鲜、意面、甜点等精选分类。
- 支持按烹饪时间（≤15、25、35、45分钟）精准筛选。

7. Android TV 电视端大屏适配
- 完整支持电视遥控器十字方向键操控。

8. 隐私安全
- 无需注册账号，个人笔记与收藏均存储于本地设备。

开启您的美味烹饪之旅。"
"zh-TW","Chinese (Traditional)","OpenKitchen: 食譜與烹飪助手","步驟式烹飪導引，支援離線食譜、廚房計時器與完整營養分析。","OpenKitchen 是一款專為智慧型手機、平板與 Android TV 打造的料理助手，讓下廚變得井然有序且充滿樂趣。

主要特色：

1. 逐步引導烹飪模式
- 全螢幕步驟指引，專注料理過程。
- 大字體排版設計，料理台上清晰易讀。
- 烹飪時保持螢幕常亮，無需頻繁觸碰螢幕。
- 隨時快速檢視食材清單。

2. 步驟連動廚房計時器
- 依據烹調步驟一鍵啟動倒數計時。
- 提供 +1分、+5分快速微調與提醒通知。

3. 份量智慧換算
- 支援 1 至 20 人份份量調整，精準自動計算食材用量。

4. 離線個人食譜庫
- 收藏喜愛料理，無網路狀態下依然隨時可用。
- 自由記錄個人調味筆記與烘烤秘訣。

5. 完整營養成分標示
- 提供熱量、蛋白質、碳水化合物、脂肪與膳食纖維分析。
- 可切換每份攝取量或全份料理總量。

6. 多元分類與時間篩選
- 快速料理、早餐、蔬食、海鮮、義大利麵與甜點。
- 依據備料與烹飪時間（≤15、25、35、45分鐘）精準搜尋。

7. 支援 Android TV 大螢幕
- 遙控器方向鍵流暢導覽，大螢幕看食譜更舒適。

8. 重視個人隱私
- 免註冊帳號，所有筆記與收藏均保存在本機裝置。

讓 OpenKitchen 成為您廚房裡的得力助手。"
"ko-KR","Korean","OpenKitchen: 요리 가이드 & 타이머","오프라인 레시피 저장, 요리 타이머, 영양 분석을 지원하는 단계별 요리 가이드.","OpenKitchen은 스마트폰, 태블릿, Android TV에서 집밥과 다양한 요리를 손쉽게 만들 수 있도록 돕는 스마트 요리 파트너입니다.

주요 기능:

1. 단계별 스마트 쿡 모드
- 한눈에 들어오는 전체 화면 단계별 조리 가이드.
- 조리대에서도 보기 편한 대형 글꼴 지원.
- 요리 중 화면이 꺼지지 않는 화면 켜짐 유지 기능.
- 조리 중 언제든 필요한 재료 목록 즉시 확인.

2. 조리 단계 연동 타이머
- 레시피 단계별 맞춤 원터치 타이머.
- +1분, +5분 빠른 시간 조절 및 조리 완료 알림.

3. 인분 수 자동 계산기
- 1인분부터 20인분까지 원하는 인원수에 맞춰 재료 용량 자동 계산.

4. 오프라인 나만의 요리책
- 인터넷 연결 없이도 저장된 레시피를 언제든 확인.
- 나만의 팁, 간 맞추기 노하우, 오븐 온도 메모 저장.

5. 상세한 영양 정보 분석
- 칼로리, 단백질, 탄수화물, 지방, 식이섬유 및 나트륨 함량 제공.
- 1인분 기준 및 요리 전체 총량 보기 지원.

6. 카테고리 및 조리 시간 필터
- 아침식사, 초간단 요리, 채식, 파스타, 해산물, 디저트 등 분류.
- 조리 시간별(15분, 25분, 35분, 45분 이하) 맞춤 검색.

7. Android TV 대화면 완벽 지원
- TV 리모컨 방향키(D-pad)로 편리한 조작 지원.

8. 안전한 개인정보 보호
- 계정 가입 불필요. 모든 메모와 데이터는 기기에 안전하게 저장됩니다.

OpenKitchen과 함께 매일의 요리를 더욱 즐겁게 만들어 보세요."
